"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Content Generation","dev","95","17","78","80798","67992","12806","84.15","0","2","6","8","1","13"
"KM Generic","dev","126","4","122","348654","748","347906","0.21","0","2","0","0","2","17"
"BYOCC","dev","58","7","51","53663","11690","41973","21.78","0","5","1","0","1","8"
"MACAE v4","main","131","4","127","63134","8345","54789","13.22","0","2","1","0","1","20"
"Deploy your AI application","main","14","0","14","15593",,"15593","0","0","0","0","0","0","5"
"RTI","main","122","7","115","12449","5650","6799","45.39","0","0","3","2","2","7"
"Code Modernization","dev","50","1","49","4736","165","4571","3.48","0","0","0","1","0","10"
"Fabric SQL","dev","50","6","44","5311","2227","3084","41.93","0","3","1","0","2","9"
"Content Processing","dev","43","0","43","5721",,"5721","0","0","0","0","0","0","11"
"Data and Security","dev","23","0","23","3690",,"3690","0","0","0","0","0","0","2"
"DKM","dev","51","0","51","3958",,"3958","0","0","0","0","0","0","8"
"CWYD","dev","5","2","3","201","132","69","65.67","0","2","0","0","0","4"
"Container Migration","dev","41","0","41","2144",,"2144","0","0","0","0","0","0","7"
"MAAG","dev","18","0","18","1157",,"1157","0","0","0","0","0","0","3"
"BYOC","dev","8","2","6","1108","2","1106","0.18","2","0","0","0","0","3"
