"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"BYOCC","dev","50","7","43","13584","11690","1894","86.06","0","5","1","0","1","8"
"MACAE v4","main","128","2","126","55136","348","54788","0.63","0","0","1","0","1","19"
"Deploy your AI application","main","14","0","14","15593",,"15593","0","0","0","0","0","0","5"
"RTI","main","124","7","117","12451","5650","6801","45.38","0","0","3","2","2","7"
"Code Modernization","dev","50","1","49","4736","165","4571","3.48","0","0","0","1","0","10"
"Fabric SQL","dev","50","6","44","5311","2227","3084","41.93","0","3","1","0","2","9"
"Doc Gen","dev","35","0","35","3425",,"3425","0","0","0","0","0","0","9"
"Content Processing","dev","42","0","42","5746",,"5746","0","0","0","0","0","0","10"
"DKM","dev","17","0","17","1844",,"1844","0","0","0","0","0","0","5"
"CWYD","dev","7","2","5","283","132","151","46.64","0","2","0","0","0","5"
"Container Migration","dev","39","0","39","736",,"736","0","0","0","0","0","0","7"
"BYOC","dev","8","2","6","1108","2","1106","0.18","2","0","0","0","0","3"
"MAAG","dev","3","0","3","2",,"2","0","0","0","0","0","0","2"
