"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"RTI","main","0","0","0",,,"0","0","0","0","0","0","0","0"
"CWYD","dev","2","0","2","82",,"82","0","0","0","0","0","0","1"
"Deploy your AI application","main","0","0","0",,,"0","0","0","0","0","0","0","0"
"MACAE v4","main","0","0","0",,,"0","0","0","0","0","0","0","0"
"Fabric SQL","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Content Processing","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"BYOCC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"DKM","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Code Modernization","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"BYOC","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Doc Gen","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"Container Migration","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
