"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"CWYD","dev","16","3","13","21675","16940","4735","78.15","0","1","0","2","0","10"
"Deploy your AI application","main","5","0","5","924",,"924","0","0","0","0","0","0","2"
"MACAE v4","main","36","0","36","50753",,"50753","0","0","0","0","0","0","7"
"BYOCC","dev","4","1","3","5085","5027","58","98.86","0","0","0","1","0","3"
"Fabric SQL","dev","9","0","9","1067",,"1067","0","0","0","0","0","0","3"
"DKM","dev","11","0","11","2259",,"2259","0","0","0","0","0","0","3"
"RTI","main","9","0","9","335",,"335","0","0","0","0","0","0","5"
"Content Processing","dev","22","0","22","12807",,"12807","0","0","0","0","0","0","4"
"Doc Gen","dev","13","0","13","25075",,"25075","0","0","0","0","0","0","4"
"Code Modernization","dev","5","0","5","1023",,"1023","0","0","0","0","0","0","2"
"MAAG","dev","0","0","0",,,"0","0","0","0","0","0","0","0"
"BYOC","dev","2","0","2","14",,"14","0","0","0","0","0","0","1"
"Container Migration","dev","2","0","2","13",,"13","0","0","0","0","0","0","1"
