"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"Doc Gen","dev","97","17","80","80807","67992","12815","84.14","0","2","6","8","1","13"
"BYOCC","dev","58","7","51","53663","11690","41973","21.78","0","5","1","0","1","8"
"MACAE v4","main","130","4","126","63149","8345","54804","13.21","0","2","1","0","1","19"
"KM Generic","dev","98","0","98","346786",,"346786","0","0","0","0","0","0","16"
"Deploy your AI application","main","14","0","14","15593",,"15593","0","0","0","0","0","0","5"
"RTI","main","113","7","106","12339","5650","6689","45.79","0","0","3","2","2","7"
"Code Modernization","dev","49","1","48","4718","165","4553","3.5","0","0","0","1","0","9"
"Fabric SQL","dev","50","6","44","5311","2227","3084","41.93","0","3","1","0","2","9"
"Content Processing","dev","41","0","41","5703",,"5703","0","0","0","0","0","0","10"
"DKM","dev","17","0","17","1844",,"1844","0","0","0","0","0","0","5"
"CWYD","dev","5","2","3","201","132","69","65.67","0","2","0","0","0","4"
"Container Migration","dev","39","0","39","1930",,"1930","0","0","0","0","0","0","7"
"BYOC","dev","8","2","6","1108","2","1106","0.18","2","0","0","0","0","3"
"MAAG","dev","18","0","18","1157",,"1157","0","0","0","0","0","0","3"
