"Application","Branch","TotalCommits","AICommits","HumanCommits","TotalLinesAdded","AILinesAdded","HumanLinesAdded","AIPercentage","Tier1","Tier2","Tier3","Tier4","Tier5","UniqueContributors"
"MACAE v4","main","140","2","138","55450","348","55102","0.63","0","0","1","0","1","19"
"Deploy your AI application","main","14","0","14","15593",,"15593","0","0","0","0","0","0","5"
"RTI","main","125","7","118","12456","5650","6806","45.36","0","0","3","1","3","7"
"BYOCC","dev","50","3","47","13455","4498","8957","33.43","0","0","2","0","1","8"
"Fabric SQL","dev","50","5","45","5311","408","4903","7.68","0","3","1","0","1","9"
"Code Modernization","dev","47","1","46","3658","165","3493","4.51","0","0","0","1","0","9"
"Content Processing","dev","44","0","44","5771",,"5771","0","0","0","0","0","0","11"
"Doc Gen","dev","34","0","34","3424",,"3424","0","0","0","0","0","0","9"
"CWYD","dev","7","2","5","278","132","146","47.48","0","0","0","0","2","6"
"DKM","dev","17","0","17","1761",,"1761","0","0","0","0","0","0","6"
"Container Migration","dev","46","0","46","878",,"878","0","0","0","0","0","0","7"
"BYOC","dev","11","3","8","1234","97","1137","7.86","3","0","0","0","0","5"
"MAAG","dev","3","0","3","2",,"2","0","0","0","0","0","0","2"
